"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"EEF2"	3.63247808969093e-05	0.279912861759536	0.629	0.989	0.889920807193381
"TAF1D"	1.81923998374302e-78	0.279861480609835	0.304	0.838	4.45695603617202e-74
"RPL9"	2.99445720716104e-59	0.278450519816161	0.965	0.998	7.33612071182383e-55
"UQCRH"	2.12880717719352e-27	0.278200768513838	0.807	0.986	5.2153647034064e-23
"LY96"	2.27276987766664e-105	0.277714269744082	0.153	0.567	5.56805892329551e-101
"PRDX5"	0.824129275635213	0.276525263361197	0.572	0.962	1
"RP5-940J5.9"	4.96753983935275e-51	0.27645697366339	0.093	0.313	1.21699758524303e-46
"VDAC2"	6.30677091939965e-08	0.276183623602251	0.455	0.843	0.00154509580754372
"DDIT4"	1.20485145081722e-05	0.276162988984244	0.444	0.733	0.295176556935711
"FN1"	1.09637757178819e-37	0.275835040186475	0.138	0.355	2.68601541312389e-33
"S100A13"	1.21685415728871e-10	0.275760070625132	0.469	0.895	2.98117099994162e-06
"NDUFS5"	5.92419816388897e-12	0.274516959461557	0.739	0.985	1.45136930817116e-07
"PFDN6"	2.74674749959874e-78	0.273960293073673	0.224	0.655	6.72925669926695e-74
"RPL34"	3.51929469628133e-72	0.273644130287301	0.982	0.999	8.62192007641963e-68
"RPL10"	2.16891715127587e-77	0.273147616508306	0.998	1	5.31363012891077e-73
"PPIF"	4.03231091155589e-106	0.272509827958647	0.175	0.616	9.87875850222076e-102
"CCDC85B"	5.75657261579186e-34	0.27192466847016	0.294	0.644	1.41030272514285e-29
"MRPL13"	3.52846488405344e-73	0.271920564401634	0.286	0.771	8.64438611944252e-69
"GUK1"	0.000213677314035913	0.270771634415128	0.635	0.974	1
"EIF5A"	7.28791184679865e-60	0.270767514942671	0.333	0.845	1.7854655233472e-55
"TIMP2"	5.96254167626259e-116	0.268824840957819	0.154	0.595	1.46076308526757e-111
"MIF"	3.71779973345499e-05	0.268737926895506	0.49	0.887	0.910823756699137
"ZFAS1"	0.00170660254012996	0.267875311887381	0.681	0.99	1
"NDUFAF2"	4.84418032327433e-77	0.267733297890677	0.278	0.771	1.18677573739898e-72
"MTCH1"	1.91367082702136e-83	0.267359401992991	0.272	0.776	4.68830215911962e-79
"PSMB2"	1.20950974447678e-10	0.267184733556996	0.451	0.83	2.96317792299366e-06
"RNF181"	3.1790237465642e-69	0.26526486140393	0.276	0.741	7.78829027670764e-65
"MRPL47"	1.26445225727806e-103	0.264951182719663	0.187	0.637	3.09778158510551e-99
"CLTA"	1.37610949451573e-06	0.264720061639619	0.49	0.916	0.033713306506141
"ARPC5"	4.87508668258788e-80	0.264450705006906	0.306	0.847	1.1943474863672e-75
"NDUFB4"	0.00199451997848628	0.264375845516498	0.537	0.952	1
"TOMM20"	0.00282819400998999	0.26363489029425	0.626	0.967	1
"GSN"	4.0127972187286e-140	0.262990053823723	0.186	0.714	9.83095190616319e-136
"CLIC1"	4.72201409893122e-05	0.262392265831404	0.692	0.919	1
"S100A9"	6.84094946242013e-83	0.262036141579971	0.162	0.494	1.67596420879831e-78
"RHOC"	4.30182160380058e-84	0.2617908225247	0.238	0.705	1.0539032747151e-79
"SLC25A3"	0.25454533908783	0.26166132267035	0.605	0.944	1
"TSPO"	4.05469872033418e-09	0.261291882709941	0.442	0.792	9.9336063949467e-05
"NDUFC1"	1.39609913447207e-07	0.261125712736412	0.502	0.951	0.00342030326954311
"EIF1B"	5.78009641453946e-135	0.260934552893588	0.198	0.733	1.41606582059802e-130
"CYBA"	3.84777945294826e-31	0.26027856459431	0.388	0.822	9.42667488177793e-27
"NDUFB3"	6.15868737224039e-83	0.260091932571219	0.314	0.88	1.50881681932517e-78
"RPL7A"	8.80084301791864e-47	0.258997396793977	0.958	0.998	2.15611853095989e-42
"DDAH2"	4.44485575628908e-111	0.258945144731204	0.183	0.644	1.08894521173326e-106
"B4GALT2"	1.17600851447567e-107	0.258910340710029	0.157	0.581	2.88110325961394e-103
"COX7A2"	7.57231775641921e-06	0.258404582903907	0.728	0.945	0.185514212714514
"PSMD4"	1.37043553877426e-119	0.258372004178729	0.208	0.721	3.35743002644306e-115
"PRDX6"	6.85194664209021e-05	0.25810288917455	0.507	0.926	1
"SAP18"	3.47655671347753e-84	0.257665549083171	0.317	0.887	8.51721629234859e-80
"POLD2"	6.63646095883961e-72	0.25759067198124	0.241	0.674	1.62586657030612e-67
"AIMP2"	9.71982601071463e-100	0.257261877422001	0.173	0.597	2.38126017436498e-95
"CHCHD7"	2.3257197676272e-113	0.256662147899554	0.257	0.816	5.69778085870988e-109
"FAM50A"	1.85101858447232e-91	0.254853434225602	0.241	0.727	4.53481043009873e-87
"LETMD1"	1.28420832840011e-90	0.254532899951319	0.129	0.484	3.14618198374744e-86
